ID,NAME,TYPE,RESULTID,ICON_ID,Mat1,Mat2,Mat3,STAT_STR,DURATION,DESC
RE_01,버섯 구이,5,23,fm,6,0,0,10,30,맛은 밋밋하다. N 스태미나 회복
RE_02,짠 버섯 구이,5,24,saltfm,6,10,0,25,60,짭잘하니 심심하진 않다. N 스태미나 회복
RE_03,단 버섯 구이,5,25,sweetfm,6,11,0,25,60,기괴한 조합이다. N 스태미나 회복
RE_04,구운 고기,5,26,leg chicken,7,0,0,20,30,담백한 맛이다. N 스태미나 회복
RE_05,짠 구운고기,5,27,chiken,7,10,0,30,60,맛이 없을 수가 있을까. N 스태미나 회복
RE_06,단 구운고기,5,28,ham,7,11,0,30,60,당이 충전된다. N 스태미나 회복
RE_07,계란프라이,5,29,sse,8,10,0,25,60,간이 식사로는 최고. N 스태미나 회복
RE_08,계란말이,5,30,eggroll,6,8,0,25,60,이쁘게 말아보자. N 스태미나 회복
RE_09,버섯 계란 볶음,5,31,fme,6,8,10,35,90,좋은 향이 난다. N 스태미나 회복
RE_10,삶은 계란,5,32,be,8,0,0,15,30,먹고나니 입이 좀 텁텁하다. N 스태미나 회복
RE_11,버섯 스테이크,5,33,ms,6,7,10,40,90,스테이크의 정석. N 스타매니 회복
RE_12,버섯 고기 꼬치,5,34,mms,6,7,0,30,60,손으로 육즙이 떨어진다. N 스태미나 회복
RE_13,푸딩,5,35,jelly,8,11,0,25,60,흔들리는 움직임이 귀엽다. N 스태미나 회복
